,Make,Model,Variant,Price,Engine_Size_in_cc,Fuel_Type,Fuel_Tank_Capacity,Mileage,Power,Comfort,Safety
170,Ford,Freestyle,1.2L Ti-Vct Ambiente,591400,1194.0,Petrol,42.0,19.0,94.656,29.2317208991682,20.5
171,Ford,Freestyle,1.2L Ti-Vct Titanium,721400,1194.0,Petrol,42.0,19.0,94.656,43.731720899168195,27.0
172,Ford,Freestyle,1.2L Ti-Vct Titanium Plus,756400,1194.0,Petrol,42.0,19.0,94.656,43.731720899168195,47.0
173,Ford,Freestyle,1.2L Ti-Vct Trend Plus,681400,1194.0,Petrol,42.0,19.0,94.656,40.731720899168195,27.0
174,Ford,Freestyle,1.5L Tdci Trend Plus,745900,1498.0,Diesel,42.0,24.4,98.6,40.731720899168195,27.0
175,Volkswagen,Ameo,Trendline 1.5L Tdi,711500,1498.0,Diesel,45.0,21.66,108.46,22.317377339341764,24.0
176,Volkswagen,Ameo,Comfortline 1.5L Tdi,810500,1498.0,Diesel,45.0,21.66,108.46,40.81737733934176,24.0
177,Volkswagen,Ameo,Highline Plus 1.5L Tdi Dsg,999900,1498.0,Diesel,45.0,21.73,108.46,43.81737733934176,26.0
178,Volkswagen,Ameo,Highline Plus 1.5L Tdi,925500,1498.0,Diesel,45.0,21.66,108.46,34.81737733934176,24.0
179,Volkswagen,Ameo,Trendline 1.0L,594000,999.0,Petrol,45.0,19.0,74.936,16.317377339341764,26.0
180,Volkswagen,Ameo,Comfortline 1.0L,665000,999.0,Petrol,45.0,19.0,74.936,26.817377339341768,26.0
181,Volkswagen,Ameo,Highline Plus 1.0L,799900,999.0,Petrol,45.0,19.0,74.936,35.81737733934177,26.0
182,Volkswagen,Ameo,Gt Line Tdi Dsg,999900,1498.0,Diesel,45.0,21.73,108.46,43.81737733934176,26.0
183,Ford,Aspire,1.2 Ti-Vct Ambiente,598500,1194.0,Petrol,42.0,20.4,94.656,19.412893507381778,27.0
184,Ford,Aspire,1.2 Ti-Vct Trend Plus,697400,1194.0,Petrol,42.0,20.4,94.656,43.91289350738178,27.0
185,Ford,Aspire,1.2 Ti-Vct Trend,663400,1194.0,Petrol,42.0,20.4,94.656,40.91289350738178,27.0
186,Ford,Aspire,1.5 Tdci Ambiente,699400,1498.0,Diesel,40.0,26.1,98.6,19.412893507381778,27.0
187,Ford,Aspire,1.5 Tdci Trend,737400,1498.0,Diesel,40.0,26.1,98.6,40.91289350738178,23.0
188,Ford,Aspire,1.5 Tdci Trend Plus,777400,1498.0,Diesel,40.0,26.1,98.6,40.913342743680076,24.5
189,Ford,Aspire,1.5 Tdci Titanium,817400,1498.0,Diesel,40.0,26.1,98.6,40.91289350738178,27.0
190,Ford,Aspire,1.5 Tdci Titanium Plus,862400,1498.0,Diesel,40.0,26.1,98.6,37.91289350738178,47.0
191,Ford,Aspire,1.2 Ti-Vct Titanium Plus,782400,1194.0,Petrol,42.0,19.4,94.656,43.91289350738178,47.0
192,Ford,Aspire,1.2 Ti-Vct Titanium,737400,1194.0,Petrol,42.0,19.4,94.656,40.91289350738178,27.0
193,Ford,Aspire,1.2 Trend Plus Cng,758314,1194.0,CNG,42.0,19.90211704,94.656,43.91289350738178,27.0
194,Ford,Aspire,1.2 Ti-Vct Blu,762400,1194.0,Petrol,42.0,19.4,94.656,40.91289350738178,27.0
195,Ford,Aspire,1.5 Tdci Blu,842400,1498.0,Diesel,40.0,26.1,98.6,40.91289350738178,27.0
